symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,pnl_pct,hold_days,exit_reason
600028,2018-09-27,7.057049999999999,2018-10-09,6.61338,21200,-9588.068752799982,-0.06286904584776909,12,trailing_stop: close=6.62 <= stop=6.81
601238,2018-11-05,11.121109999999998,2018-11-21,10.24974,13400,-11854.908470799986,-0.07835279032398734,16,trailing_stop: close=10.39 <= stop=10.54
300498,2018-12-04,26.226199999999995,2018-12-17,25.01496,5700,-7089.42885359998,-0.04618435000114374,13,trailing_stop: close=25.11 <= stop=25.43
601111,2018-12-04,8.47847,2018-12-19,8.26173,17600,-4003.6523823999946,-0.025563574560032665,15,trailing_stop: close=8.09 <= stop=8.11
002311,2018-12-04,23.23321,2018-12-20,22.29768,6400,-6172.9086976,-0.04026692824624756,16,trailing_stop: close=22.13 <= stop=22.86
601766,2018-12-04,8.84884,2018-12-21,9.08091,16900,3722.475407300004,0.026226036407031916,17,trailing_stop: close=9.09 <= stop=9.17
600522,2018-12-14,8.23823,2019-01-31,7.90209,18200,-6304.71144939999,-0.040802453925175564,48,trailing_stop: close=7.90 <= stop=8.02
600406,2018-12-06,18.258239999999997,2019-02-12,19.840139999999998,8200,12760.084107600007,0.08664033335085963,68,time_stop: 持有 67 天 >= 60
600436,2019-01-21,90.39029999999998,2019-02-19,105.73416,1600,24330.24894720003,0.1697511790535049,29,take_profit: close=105.78 >= target=103.10
002311,2019-01-21,23.64362,2019-02-22,27.15282,6300,21885.578404199998,0.14842058872541508,32,take_profit: close=27.48 >= target=27.39
600029,2019-02-13,7.317309999999999,2019-02-26,8.541450000000001,700,849.1252805000014,0.16729371859330855,13,take_profit: close=8.44 >= target=8.42
600406,2019-02-13,19.809789999999996,2019-02-28,18.21177,7500,-12162.71475749996,-0.08066819486728505,15,trailing_stop: close=18.41 <= stop=19.10
600886,2019-01-21,8.4084,2019-03-01,8.091899999999999,17800,-5820.946566000023,-0.03764093049807349,39,trailing_stop: close=8.08 <= stop=8.18
300124,2019-02-13,24.013989999999996,2019-03-06,27.972,3100,12157.103840000016,0.16482100642167352,21,take_profit: close=27.92 >= target=27.89
001965,2019-02-19,8.63863,2019-03-08,10.0899,17300,24880.049149000017,0.16799770333953434,17,take_profit: close=10.10 >= target=9.72
600660,2019-02-12,24.09407,2019-03-11,23.846130000000002,6200,-1729.427807799977,-0.010290498865488273,27,trailing_stop: close=23.86 <= stop=24.04
600019,2019-02-14,7.137129999999999,2019-03-11,7.35264,100,20.595156800000098,0.03019561084077238,25,trailing_stop: close=7.38 <= stop=7.46
601006,2019-02-20,8.73873,2019-03-11,8.44155,2100,-647.1234315000019,-0.034007229883518675,19,trailing_stop: close=8.45 <= stop=8.66
600519,2019-02-26,748.5477999999998,2019-03-11,739.2999599999999,200,-2041.7859895999766,-0.012354374697246984,13,trailing_stop: close=737.50 <= stop=748.30
601088,2019-02-27,20.920899999999996,2019-03-11,19.99998,1200,-1136.3039687999944,-0.044019138755980625,12,trailing_stop: close=20.02 <= stop=20.17
600176,2019-03-04,11.52151,2019-03-11,10.369620000000001,13000,-15149.816577999974,-0.09997734671931002,7,trailing_stop: close=10.41 <= stop=10.58
600233,2019-03-05,13.32331,2019-03-11,12.987,9500,-3355.3344499999926,-0.02524222584327762,6,trailing_stop: close=12.38 <= stop=12.52
600028,2019-03-07,6.07607,2019-03-11,5.83416,14600,-3642.618356799998,-0.039813563701537324,4,trailing_stop: close=5.85 <= stop=5.91
600674,2019-01-21,8.828819999999999,2019-03-20,9.75024,16900,15357.785227200022,0.1043650227323698,58,take_profit: close=9.80 >= target=9.64
600085,2019-03-13,30.610579999999995,2019-03-29,29.13084,4900,-7436.289450799981,-0.0483408024284413,16,trailing_stop: close=29.15 <= stop=29.39
601117,2019-03-19,6.44644,2019-03-29,6.30369,23200,-3501.919290400009,-0.022144005063259753,10,trailing_stop: close=6.30 <= stop=6.30
600276,2019-03-28,61.741679999999995,2019-04-01,65.934,1900,7802.551020000004,0.06790097062470601,4,trailing_stop: close=65.42 <= stop=69.78
002422,2019-03-12,24.8248,2019-04-02,29.38059,6000,27105.57139800001,0.183517691985434,21,take_profit: close=29.41 >= target=29.38
600426,2019-03-18,14.994979999999998,2019-04-09,17.4825,10000,24647.927500000034,0.16589018458177351,22,take_profit: close=18.34 >= target=17.86
600029,2019-04-01,8.57857,2019-04-12,8.6913,17400,1764.9047940000155,0.013140884786159157,11,trailing_stop: close=8.75 <= stop=8.94
600489,2019-04-11,8.88888,2019-04-15,8.4915,16800,-6861.438360000001,-0.04470529470529472,4,break_ma60: close=8.47 < MA60=8.55
000999,2019-04-10,29.529499999999995,2019-04-16,27.82215,5000,-8717.593974999972,-0.05781845273370678,6,trailing_stop: close=27.86 <= stop=27.93
000895,2019-03-13,25.995969999999996,2019-04-23,25.73424,5700,-1682.5517183999798,-0.01006809901688599,41,trailing_stop: close=25.78 <= stop=25.89
