date,equity,benchmark
2018-01-02,1000000.0,1000000.0
2018-01-03,1000000.0,1009716.7013691715
2018-01-04,1000000.0,1011483.3743453847
2018-01-05,1000000.0,1021641.7439586092
2018-01-08,1000000.0,1025616.7581550885
2018-01-09,1000000.0,1025679.8536185247
2018-01-10,1000000.0,1023282.2260079499
2018-01-11,1000000.0,1030285.8224493659
2018-01-12,1000000.0,1037857.2780617075
2018-01-16,1000000.0,1034891.7912802069
2018-01-17,1000000.0,1046059.6883084106
2018-01-18,1000000.0,1046248.9746987191
2018-01-19,1000000.0,1049529.9387974003
2018-01-22,1000000.0,1060760.9312890403
2018-01-23,1000000.0,1069531.2007066691
2018-01-24,1000000.0,1062590.6997286894
2018-01-25,1000000.0,1062212.1269480723
2018-01-26,1000000.0,1078490.7565146068
2018-01-29,1000000.0,1073253.8330494037
2018-01-30,1000000.0,1064420.4681683385
2018-01-31,1000000.0,1068837.1506088711
2018-02-01,1000000.0,1059751.4038740613
2018-02-02,1000000.0,1038614.4236229416
2018-02-05,1000000.0,997665.4678528614
2018-02-06,1000000.0,1024102.4670326202
2018-02-07,1000000.0,1010852.4197110226
2018-02-08,1000000.0,968199.8864281657
2018-02-09,1000000.0,984920.1842387532
2018-02-12,1000000.0,1002397.6276105748
2018-02-13,1000000.0,1007571.4556123414
2018-02-14,1000000.0,1026436.9991797591
2018-02-15,1000000.0,1045491.8291374849
2018-02-16,1000000.0,1040822.7648432078
2018-02-20,1000000.0,1042904.9151366017
2018-02-21,1000000.0,1039939.4283551011
2018-02-22,1000000.0,1039813.237428229
2018-02-23,1000000.0,1061076.408606221
2018-02-26,1000000.0,1075146.696952489
2018-02-27,1000000.0,1061833.5541674553
2018-02-28,1000000.0,1055019.244116348
2018-03-01,1000000.0,1037794.182598271
2018-03-02,1000000.0,1047321.5975771341
2018-03-05,1000000.0,1058931.162849391
2018-03-06,1000000.0,1063410.9407533596
2018-03-07,1000000.0,1065871.6638273709
2018-03-08,1000000.0,1071739.5419269355
2018-03-09,1000000.0,1092561.0448608745
2018-03-12,1000000.0,1098365.827497003
2018-03-13,1000000.0,1083412.2026626286
2018-03-14,1000000.0,1083222.9162723199
2018-03-15,1000000.0,1082276.4843207772
2018-03-16,1000000.0,1079058.615685532
2018-03-19,1000000.0,1054325.19401855
2018-03-20,1000000.0,1057795.44450754
2018-03-21,1000000.0,1053189.4756766986
2018-03-22,1000000.0,1027194.1447409932
2018-03-23,1000000.0,1000126.1909268722
2018-03-26,1000000.0,1037289.4188907817
2018-03-27,1000000.0,1003722.6323427346
2018-03-28,1000000.0,992176.1625339137
2018-03-29,1000000.0,1010347.6560035332
2018-04-02,1000000.0,981197.5518960186
2018-04-03,1000000.0,992239.25799735
2018-04-04,1000000.0,1007886.9329295224
2018-04-05,1000000.0,1013628.6201022146
2018-04-06,1000000.0,988264.2438008706
2018-04-09,1000000.0,995204.7447788502
2018-04-10,1000000.0,1017161.9660546407
2018-04-11,1000000.0,1011294.087955076
2018-04-12,1000000.0,1023471.5123982586
2018-04-13,1000000.0,1018171.4934696195
2018-04-16,1000000.0,1025932.2354722695
2018-04-17,1000000.0,1048015.647674932
2018-04-18,1000000.0,1050160.893431762
2018-04-19,1000000.0,1040507.2875260268
2018-04-20,1000000.0,1024039.3715691842
2018-04-23,1000000.0,1021452.4575683007
2018-04-24,1000000.0,999810.7136096915
2018-04-25,1000000.0,1001009.5274149788
2018-04-26,1000000.0,1022083.4122026626
2018-04-27,1000000.0,1022714.3668370245
2018-04-30,1000000.0,1015458.3885418638
2018-05-01,1000000.0,1027067.9538141207
2018-05-02,1000000.0,1021010.7893242475
2018-05-03,1000000.0,1020884.5983973753
2018-05-04,1000000.0,1040254.9056722821
2018-05-07,1000000.0,1048898.9841630387
2018-05-08,1000000.0,1047826.3612846235
2018-05-09,1000000.0,1059246.6401665718
2018-05-10,1000000.0,1070225.2508044671
2018-05-11,1000000.0,1069215.7233894884
2018-05-14,1000000.0,1071045.4918291376
2018-05-15,1000000.0,1059183.544703136
2018-05-16,1000000.0,1066187.1411445516
2018-05-17,1000000.0,1062085.9360212001
2018-05-18,1000000.0,1056596.6307022525
2018-05-21,1000000.0,1062527.6042652533
2018-05-22,1000000.0,1061139.5040696573
2018-05-23,1000000.0,1070099.0598775947
2018-05-24,1000000.0,1069783.5825604137
2018-05-25,1000000.0,1070856.2054388288
2018-05-29,1000000.0,1066124.0456811155
2018-05-30,1000000.0,1073758.5967568932
2018-05-31,1000000.0,1073064.5466590952
2018-06-01,1000000.0,1089911.035396555
2018-06-04,1000000.0,1099753.927692599
2018-06-05,1000000.0,1103161.0827181526
2018-06-06,1000000.0,1109596.8199886428
2018-06-07,1000000.0,1100574.1687172693
2018-06-08,1000000.0,1100637.2641807054
2018-06-11,1000000.0,1103602.7509622057
2018-06-12,1000000.0,1109407.5335983343
2018-06-13,1000000.0,1109344.438134898
2018-06-14,1000000.0,1120575.430626538
2018-06-15,1000000.0,1116663.5118934948
2018-06-18,1000000.0,1113634.9296485581
2018-06-19,1000000.0,1110480.1564767493
2018-06-20,1000000.0,1118367.0894062717
2018-06-21,1000000.0,1108650.3880371002
2018-06-22,1000000.0,1106189.6649630892
2018-06-25,1000000.0,1081266.9569057985
2018-06-26,1000000.0,1085683.639346331
2018-06-27,1000000.0,1070919.3009022651
2018-06-28,1000000.0,1080131.2385639471
2018-06-29,1000000.0,1083033.6298820113
2018-07-02,1000000.0,1090289.608177172
2018-07-03,1000000.0,1077670.515489936
2018-07-05,1000000.0,1091046.753738406
2018-07-06,1000000.0,1108019.4334027385
2018-07-09,1000000.0,1117988.5166256544
2018-07-10,1000000.0,1118808.7576503248
2018-07-11,1000000.0,1113130.1659410687
2018-07-12,1000000.0,1132311.1868256673
2018-07-13,1000000.0,1133257.61877721
2018-07-16,1000000.0,1130544.5138494542
2018-07-17,1000000.0,1137421.9193639979
2018-07-18,1000000.0,1135276.6736071676
2018-07-19,1000000.0,1129598.0818979114
2018-07-20,1000000.0,1129345.700044167
2018-07-23,1000000.0,1132942.141460029
2018-07-24,1000000.0,1137611.2057543062
2018-07-25,1000000.0,1153511.2625402233
2018-07-26,1000000.0,1136033.8191684019
2018-07-27,1000000.0,1120701.6215534103
2018-07-30,1000000.0,1104864.6602309293
2018-07-31,1000000.0,1113319.4523313772
2018-08-01,1000000.0,1117546.8483816013
2018-08-02,1000000.0,1132752.8550697204
2018-08-03,1000000.0,1136223.1055587104
2018-08-06,1000000.0,1142911.224682945
2018-08-07,1000000.0,1147075.525269733
2018-08-08,1000000.0,1148463.625465329
2018-08-09,1000000.0,1147769.575367531
2018-08-10,1000000.0,1138999.3059499022
2018-08-13,1000000.0,1137737.3966811786
2018-08-14,1000000.0,1144867.1840494666
2018-08-15,1000000.0,1130859.991166635
2018-08-16,1000000.0,1134582.6235093696
2018-08-17,1000000.0,1134835.0053631144
2018-08-20,1000000.0,1133825.4779481355
2018-08-21,1000000.0,1137989.7785349234
2018-08-22,1000000.0,1142406.4609754558
2018-08-23,1000000.0,1140765.9789261152
2018-08-24,1000000.0,1151366.0167833932
2018-08-27,1000000.0,1163101.7729825226
2018-08-28,1000000.0,1164805.3504952993
2018-08-29,1000000.0,1178244.6842072054
2018-08-30,1000000.0,1176162.5339138114
2018-08-31,1000000.0,1177676.8250362799
2018-09-04,1000000.0,1172629.1879613856
2018-09-05,1000000.0,1157486.2767367025
2018-09-06,1000000.0,1147138.6207331694
2018-09-07,1000000.0,1142721.9382926368
2018-09-10,1000000.0,1146570.7615622436
2018-09-11,1000000.0,1155404.1264433085
